,Market Capitalization,Current Liabilities,Shares,Cash,Operating Expenses,Current Ratio,PE Ratio,Earnings/Share,Debt/Equity,Debt,Current Debt,Interest Expense,Revenue,Price/Sales
23,301471869.0,161137000.0,163843407.0,739000.0,49713000.0,0.457,-0.6890000000000001,-0.56,-1.607,289065000.0,71895000.0,14057000.0,40536000.0,1.976
24,209812281.0,131873739.0,52849441.0,16512635.0,9210626.0,1.483,-28.357,-0.15,0.7040000000000001,64879141.0,50525349.0,3518672.0,61838102.0,1.546
25,12533605.0,539051.0,10479603.0,6777052.0,2090882.0,14.235,-1.375,-0.19,0.075,0.0,0.0,0.0,0.0,
26,10325986.0,5839000.0,27810358.0,5336000.0,7349000.0,3.3480000000000003,-0.309,-0.25,0.65,5032000.0,446000.0,0.0,0.0,
27,15989219.0,173984000.0,14804832.0,48551000.0,34202000.0,1.229,12.0,0.07,1.5130000000000001,83356000.0,74819000.0,186000.0,104503000.0,0.042
28,21117422.0,1244000.0,3691857.0,20426000.0,2413000.0,17.677,-1.765,-0.73,0.075,415000.0,85000.0,0.0,0.0,
29,99915389.0,2835463.0,78058898.0,764891.0,5288604.0,0.5539999999999999,-5.332999999999998,-0.07,1.349,3190000.0,0.0,22608.0,479198.0,64.616
30,60222307.0,101038000.0,45578072.0,33546000.0,60970000.0,1.841,66.065,-0.18,5.77,925727000.0,34925000.0,15657000.0,105854000.0,0.138
31,38667647.0,6312076.0,25778431.0,5420708.0,3407505.0,1.187,-3.125,-0.14,4.336,127224.0,121075.0,0.0,685261.0,8.352
32,13331088.0,2678000.0,6348137.0,1004000.0,2049000.0,0.754,-1.641,-0.35,13.887,2553000.0,1801000.0,0.0,205000.0,45.498999999999995
33,13331088.0,2678000.0,6348137.0,1004000.0,2049000.0,0.754,-1.641,-0.35,13.887,2553000.0,1801000.0,0.0,205000.0,45.498999999999995
34,47423609.0,21770750.0,11753063.0,22083584.0,7096970.0,2.5380000000000003,13.45,0.05,0.40299999999999997,13003776.0,10619182.0,88006.0,15690019.0,0.745
35,21957960.0,3876271.0,54723889.0,1256739.0,1511443.0,0.46399999999999997,-20.063,-0.01,1.746,2504743.0,850402.0,27234.0,1168734.0,4.896
36,19727603.0,1520566.0,11403239.0,1126124.0,649567.0,1.317,-7.522,-0.06,-0.26,0.0,0.0,0.0,368900.0,17.718
37,105639882.0,4896000.0,45534432.0,99028000.0,15131000.0,21.468000000000004,-1.357,-0.41,0.051,0.0,0.0,0.0,918000.0,28.79300000000001
